"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"720305","velutina","-117.051667","34.275556","Arizona ash","314159265","1979-07-03","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"796487","velutina","-117.484292","34.231509","Arizona ash","1130973","1940-11-01","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"RSA accession: 5836","velutina","-118.820943","34.116574","Arizona ash","19634954","1932-11-23","Cal BG","Los Angeles","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"962006","velutina","-118.798753","34.121823","Arizona ash","785398","1959-03-22","Cal BG","Los Angeles","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"1010557","velutina","-116.139411","34.079871","Arizona ash","1130973","1942-06-01","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"1180829","velutina","-117.048333","34.275","Arizona ash","50000000","1996-08-17","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"1237995","velutina","-118.767447","34.107237","Arizona ash","785398","1940-11-28","Cal BG","Los Angeles","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"LOB117917","velutina","-118.74","34.038","Arizona ash","985203","1972-05-20","CSU Long Beach","Los Angeles","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"LA00615455","velutina","-117.886595","34.168971","Arizona ash","3141592","1933-08-20","UCLA","Los Angeles","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"SFV109128","velutina","-118.296","34.233","Arizona ash","31415","2002-06-24","CSU Northridge","Los Angeles","medium","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"SD121804","velutina","-118.73184","34.09448","Arizona ash","50000000","1977-05-09","SDNHM","Los Angeles","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"SD42472","velutina","-117.48429","34.23151","Arizona ash","50000000","1940-11-01","SDNHM","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"CSUSB90125","velutina","-117.526889","34.239889","Arizona ash","50265482","1976-05-28","CSU San Bernardino","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"CSUSB90192","velutina","-117.526889","34.239889","Arizona ash","50265482","1975-11-05","CSU San Bernardino","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"798404","velutina","-117.3123","34.3105","Arizona ash","8133209","1981-06-04","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"941104","velutina","-117.2472","34.3392","Arizona ash","50000000","1949-08-20","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
