"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"in:89405471","dipetala","-117.642195","33.696294","Two petaled ash","201","2021-07-30","iNaturalist","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu18977","dipetala","-116.9766","34.0849","Two petaled ash","7854","2021-07-24","","San Bernardino","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu18835","dipetala","-117.0","34.0887","Two petaled ash","","2021-07-15","","San Bernardino","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:85705718","dipetala","-118.352875","34.351011","Two petaled ash","","2021-07-03","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg141142","dipetala","-117.01693","34.102137","Two petaled ash","79","2021-06-27","El Dorado and Apple Fires","San Bernardino","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg137624","dipetala","-117.015869","34.101255","Two petaled ash","155","2021-05-30","California Native Plant Society, Riverside-San Bernardino Ch.","San Bernardino","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io49639","dipetala","-121.938847","37.891178","Two petaled ash","314","2021-05-21","East Bay Chapter CNPS Unusual Plants","Contra Costa","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io49641","dipetala","-121.940198","37.890275","Two petaled ash","314","2021-05-21","East Bay Chapter CNPS Unusual Plants","Contra Costa","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:79610640","dipetala","-119.27082","34.519122","Two petaled ash","2290","2021-05-16","iNaturalist","Ventura","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:79225385","dipetala","-120.761492","36.359287","Two petaled ash","20106","2021-05-08","iNaturalist","San Benito","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu15399","dipetala","-122.4012","40.8814","Two petaled ash","7854","2021-04-30","Julie's data upload","Shasta","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"ebc:22356","dipetala","-121.915803","37.888212","Two petaled ash","","2021-04-30","EB CNPS Rare and Unusual Plants","Contra Costa","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:75752665","dipetala","-119.866975","34.542606","Two petaled ash","452","2021-04-28","iNaturalist","Santa Barbara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"ebc:22357","dipetala","-121.93383","37.90837","Two petaled ash","","2021-04-22","EB CNPS Rare and Unusual Plants","Contra Costa","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:74709821","dipetala","-117.633011","33.752913","Two petaled ash","113","2021-04-20","iNaturalist","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:74491205","dipetala","-119.160958","34.539917","Two petaled ash","50","2021-04-18","iNaturalist","Ventura","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:74218185","dipetala","-117.598487","33.784914","Two petaled ash","153","2021-04-16","iNaturalist","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:72968004","dipetala","-118.44823","34.375684","Two petaled ash","123162","2021-04-04","iNaturalist","Los Angeles","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po189104","dipetala","-119.867717","34.542666","Two petaled ash","28","2021-04-04","","Santa Barbara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:72582863","dipetala","-119.272147","34.517637","Two petaled ash","113","2021-03-30","iNaturalist","Ventura","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
