"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"po157555","latifolia","-122.348092","37.542993","Oregon ash","707","2020-05-16","","San Mateo","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg112494","latifolia","-121.971052","39.752457","Oregon ash","60","2020-05-15","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:44269059","latifolia","-122.356683","37.53047","Oregon ash","153","2020-04-26","iNaturalist","San Mateo","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg105505","latifolia","-122.091195","39.911233","Oregon ash","657","2019-12-24","","Tehama","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg104686","latifolia","-121.78147","39.724923","Oregon ash","57","2019-11-15","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg104169","latifolia","-121.570589","39.829313","Oregon ash","7046","2019-11-05","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"gp19320","latifolia","-121.81863","37.29146","Oregon ash","","2019-10-28","","Santa Clara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:34986918","latifolia","-121.439934","38.263512","Oregon ash","2123","2019-10-27","iNaturalist","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po151301","latifolia","-122.846832","40.706332","Oregon ash","314","2019-10-21","","Trinity","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po151302","latifolia","-122.846522","40.705402","Oregon ash","314","2019-10-21","","Trinity","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po151303","latifolia","-122.847579","40.703263","Oregon ash","314","2019-10-21","","Trinity","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg103467","latifolia","-121.30093","39.952058","Oregon ash","231","2019-10-16","","Plumas","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg103459","latifolia","-121.274377","39.997505","Oregon ash","391","2019-10-16","","Plumas","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io22842","latifolia","-121.32718","38.60102","Oregon ash","","2019-10-13","","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg103157","latifolia","-121.815761","39.734721","Oregon ash","231","2019-10-08","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po151299","latifolia","-122.847306","40.707824","Oregon ash","314","2019-10-08","","Trinity","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg102664","latifolia","-121.670041","39.747483","Oregon ash","5979","2019-09-30","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po164330","latifolia","-122.395044","37.561586","Oregon ash","","2019-09-16","","San Mateo","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg101369","latifolia","-121.577023","39.751521","Oregon ash","85","2019-09-12","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg100971","latifolia","-121.438198","38.92612","Oregon ash","42","2019-09-06","","Placer","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg99029","latifolia","-121.626208","39.7651","Oregon ash","176","2019-08-14","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"gp17344","latifolia","-121.57508","36.99169","Oregon ash","","2019-06-27","","Santa Clara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:27280797","latifolia","-123.632","39.654786","Oregon ash","50","2019-06-15","iNaturalist","Mendocino","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io12950","latifolia","-122.304922","37.882001","Oregon ash","314","2019-05-23","Friends of Five Creeks","Alameda","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io12945","latifolia","-122.304415","37.88221","Oregon ash","314","2019-05-23","Friends of Five Creeks","Alameda","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg85954","latifolia","-122.304276","37.882174","Oregon ash","112","2019-05-23","Friends of Five Creeks","Alameda","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg85949","latifolia","-122.303676","37.882294","Oregon ash","59","2019-05-23","Friends of Five Creeks","Alameda","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg85258","latifolia","-122.615238","37.978317","Oregon ash","292","2019-05-16","Marin County Parks data pro","Marin","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:32612753","latifolia","-123.350448","39.432633","Oregon ash","201","2019-05-07","iNaturalist","Mendocino","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po129568","latifolia","-122.16009","37.349598","Oregon ash","707","2019-04-28","","Santa Clara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io9899","latifolia","-121.169485","38.684886","Oregon ash","78","2019-03-31","","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg80220","latifolia","-119.021669","36.056136","Oregon ash","90","2019-03-23","","Tulare","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io7386","latifolia","-122.302885","37.882381","Oregon ash","78","2019-01-24","Friends of Five Creeks","Alameda","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg77218","latifolia","-119.028638","36.056557","Oregon ash","28","2018-12-22","","Tulare","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po111399","latifolia","-122.16009","37.349598","Oregon ash","314","2018-12-15","","Santa Clara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"gp10156","latifolia","-121.57411","36.99208","Oregon ash","","2018-12-07","","Santa Clara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io6667","latifolia","-121.169276","38.685191","Oregon ash","78","2018-11-25","","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg76518","latifolia","-121.210742","38.452945","Oregon ash","57","2018-11-11","","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io6574","latifolia","-122.299091","37.88288","Oregon ash","452","2018-11-10","Friends of Five Creeks","Alameda","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg76482","latifolia","-121.206695","38.452546","Oregon ash","69","2018-11-10","","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg76480","latifolia","-121.206443","38.452184","Oregon ash","60","2018-11-10","","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg76473","latifolia","-121.205028","38.451158","Oregon ash","62","2018-11-10","","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io6460","latifolia","-121.169706","38.685364","Oregon ash","314","2018-10-28","","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg76095","latifolia","-122.301429","37.882636","Oregon ash","206","2018-10-25","PLANT ID HELP","Alameda","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg75863","latifolia","-122.30403","37.882161","Oregon ash","183","2018-10-20","Friends of Five Creeks","Alameda","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io6214","latifolia","-121.169377","38.68483","Oregon ash","78","2018-10-14","","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg75605","latifolia","-121.778226","39.697689","Oregon ash","191","2018-10-10","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
