species,common_name,x,y
Fraxinus latifolia,Oregon ash,-122.019618,39.327583
Fraxinus latifolia,Oregon ash,-122.010086,39.438214
Fraxinus latifolia,Oregon ash,-122.010633,39.475891
Fraxinus latifolia,Oregon ash,-121.946231,39.699777
Fraxinus latifolia,Oregon ash,-122.176323,39.538841
Fraxinus latifolia,Oregon ash,-122.091033,40.087998
Fraxinus latifolia,Oregon ash,-122.037827,40.055476
Fraxinus latifolia,Oregon ash,-122.005429,39.411855
Fraxinus latifolia,Oregon ash,-122.023836,39.355452
Fraxinus latifolia,Oregon ash,-121.32228,38.59959
Fraxinus latifolia,Oregon ash,-121.10375,38.54604
Fraxinus latifolia,Oregon ash,-120.673849,37.813537
Fraxinus latifolia,Oregon ash,-120.672705,37.813415
Fraxinus latifolia,Oregon ash,-120.67171,37.812548
Fraxinus latifolia,Oregon ash,-120.681759,37.809043
Fraxinus latifolia,Oregon ash,-120.701289,37.812904
Fraxinus latifolia,Oregon ash,-121.619228,38.707328
Fraxinus latifolia,Oregon ash,-121.604861,38.653054
Fraxinus latifolia,Oregon ash,-121.590198,38.599062000000004
Fraxinus latifolia,Oregon ash,-121.723427,38.802094
Fraxinus latifolia,Oregon ash,-121.722535,38.801057
Fraxinus latifolia,Oregon ash,-121.693374,38.784262
Fraxinus latifolia,Oregon ash,-121.635203,38.749643
Fraxinus latifolia,Oregon ash,-121.802561,38.526902
Fraxinus latifolia,Oregon ash,-121.804362,38.526903
Fraxinus latifolia,Oregon ash,-121.832579,39.037587
Fraxinus latifolia,Oregon ash,-121.824661,39.009204
Fraxinus latifolia,Oregon ash,-121.809368,38.914812
Fraxinus latifolia,Oregon ash,-121.814557,38.888534
Fraxinus latifolia,Oregon ash,-121.976718,38.371026
Fraxinus latifolia,Oregon ash,-122.612361,37.96487
Fraxinus latifolia,Oregon ash,-122.612005,37.962558
Fraxinus latifolia,Oregon ash,-121.215546,38.079543
Fraxinus latifolia,Oregon ash,-121.242452,38.082409
Fraxinus latifolia,Oregon ash,-120.819095,37.790012
Fraxinus latifolia,Oregon ash,-120.372321,37.515489
Fraxinus latifolia,Oregon ash,-121.098399,38.056402
Fraxinus latifolia,Oregon ash,-119.730943,36.979027
Fraxinus latifolia,Oregon ash,-119.727556,36.981682
Fraxinus latifolia,Oregon ash,-119.726148,36.983139
Fraxinus latifolia,Oregon ash,-119.722367,36.985145
Fraxinus latifolia,Oregon ash,-119.760384,36.919978
Fraxinus latifolia,Oregon ash,-119.755181,36.921667
Fraxinus latifolia,Oregon ash,-119.75283,36.924317
Fraxinus latifolia,Oregon ash,-119.754281,36.932511
Fraxinus latifolia,Oregon ash,-119.750337,36.928646
Fraxinus latifolia,Oregon ash,-119.787123,36.87662
Fraxinus latifolia,Oregon ash,-119.863054,36.854177
Fraxinus latifolia,Oregon ash,-119.866035,36.849618
Fraxinus latifolia,Oregon ash,-119.407751,36.787124
Fraxinus latifolia,Oregon ash,-119.818038,36.383547
Fraxinus latifolia,Oregon ash,-119.460184,36.587856
Fraxinus latifolia,Oregon ash,-122.038576,39.792895
Fraxinus latifolia,Oregon ash,-121.963253,39.729889
Fraxinus latifolia,Oregon ash,-121.979897,39.744632
Fraxinus latifolia,Oregon ash,-122.055388,39.835145
Fraxinus latifolia,Oregon ash,-122.057277,39.832881
Fraxinus latifolia,Oregon ash,-121.887095,39.362433
Fraxinus latifolia,Oregon ash,-121.784566,39.707423
Fraxinus latifolia,Oregon ash,-121.787391,39.707264
Fraxinus latifolia,Oregon ash,-121.882381,39.373444
Fraxinus latifolia,Oregon ash,-121.839769,39.732198
Fraxinus latifolia,Oregon ash,-121.874149,39.478191
Fraxinus latifolia,Oregon ash,-121.875191,39.428653
Fraxinus latifolia,Oregon ash,-121.813965,39.735811
Fraxinus latifolia,Oregon ash,-121.582925,39.321049
Fraxinus latifolia,Oregon ash,-121.56991,39.321052
Fraxinus latifolia,Oregon ash,-121.569562,39.321029
Fraxinus latifolia,Oregon ash,-121.94305,39.706488
Fraxinus latifolia,Oregon ash,-121.941073,39.728959
Fraxinus latifolia,Oregon ash,-121.940489,39.603065
Fraxinus latifolia,Oregon ash,-121.992806,39.53817
Fraxinus latifolia,Oregon ash,-122.029365,39.833236
Fraxinus latifolia,Oregon ash,-122.02351,39.818447
Fraxinus latifolia,Oregon ash,-121.854143,39.777426
